Date,open,close,high,low
2024-01-30,43302.71,42941.1,43882.36,42683.99
2024-01-31,42941.1,42580.0,43745.11,42276.84
2024-02-01,42580.0,43082.94,43285.13,41884.28
2024-02-02,43082.95,43200.0,43488.0,42546.79
2024-02-03,43199.99,43011.09,43380.01,42880.0
2024-02-04,43011.1,42582.88,43119.04,42222.0
2024-02-05,42582.88,42708.7,43569.76,42258.1
2024-02-06,42708.7,43098.95,43399.98,42574.0
2024-02-07,43098.96,44349.6,44396.5,42788.0
2024-02-08,44349.6,45288.65,45614.3,44331.1
2024-02-09,45288.66,47132.77,48200.0,45242.12
2024-02-10,47132.78,47751.09,48170.0,46800.0
2024-02-11,47751.08,48299.99,48592.66,47557.16
2024-02-12,48300.0,49917.27,50334.82,47710.01
2024-02-13,49917.28,49699.59,50368.61,48300.95
2024-02-14,49699.6,51795.17,52043.71,49225.01
2024-02-15,51795.17,51880.0,52816.62,51314.0
2024-02-16,51880.01,52124.11,52572.08,51566.0
2024-02-17,52124.1,51642.64,52162.82,50625.0
2024-02-18,51642.64,52137.67,52377.0,51163.28
2024-02-19,52137.68,51774.73,52488.77,51677.0
2024-02-20,51774.74,52258.82,52985.0,50760.37
2024-02-21,52258.82,51849.39,52366.8,50625.0
2024-02-22,51849.38,51288.42,52065.78,50940.78
2024-02-23,51288.42,50744.15,51548.54,50521.0
2024-02-24,50744.15,51568.22,51698.0,50585.0
2024-02-25,51568.21,51728.85,51958.55,51279.8
2024-02-26,51728.85,54476.47,54910.0,50901.44
2024-02-27,54476.48,57037.34,57588.15,54450.13
2024-02-28,57037.35,62432.1,64000.0,56691.85
2024-02-29,62432.11,61130.98,63676.35,60364.7
2024-03-01,61130.99,62387.9,63114.23,60777.0
2024-03-02,62387.9,61987.28,62433.19,61561.12
2024-03-03,61987.28,63113.97,63231.88,61320.0
2024-03-04,63113.97,68245.71,68499.0,62300.0
2024-03-05,68245.71,63724.01,69000.0,59005.0
2024-03-06,63724.01,66074.04,67641.1,62779.14
2024-03-07,66074.04,66823.17,67980.0,65551.0
2024-03-08,66823.18,68124.19,69990.0,66082.66
2024-03-09,68124.2,68313.27,68541.1,67861.1
2024-03-10,68313.28,68955.88,69887.61,68094.75
2024-03-11,68955.88,72078.1,72800.0,67024.96
2024-03-12,72078.1,71452.01,73000.0,68620.82
2024-03-13,71452.0,73072.41,73650.25,71333.31
2024-03-14,73072.4,71388.94,73777.0,68555.0
2024-03-15,71388.94,69499.85,72419.71,65600.0
2024-03-16,69499.84,65300.63,70043.0,64780.0
2024-03-17,65300.64,68393.48,68904.4,64533.0
2024-03-18,68393.47,67609.99,68956.0,66565.2
2024-03-19,67610.0,61937.4,68124.11,61555.0
2024-03-20,61937.41,67840.51,68100.0,60775.0
2024-03-21,67840.51,65501.27,68240.47,64529.01
